@relation training_tutorial1
@attribute diff numeric
@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}
@attribute action {Stop, East, West, North, South}
@data
-1,-3,13,12,1.0,0.0,East,False,5,5,6,13,12,4,14,12,True,True,True,True,1,15,8,9,2,14,12,False,True,False,False,True,East
-1,-4,14,12,1.0,-90.0,East,False,6,5,6,14,12,5,14,11,True,True,True,True,1,15,10,9,2,14,11,False,False,True,False,True,South
-1,-5,14,11,1.0,0.0,South,False,6,6,5,14,13,5,15,11,True,True,True,True,1,13,12,7,2,15,11,False,True,False,False,True,East
199,194,15,11,6.32,-108.43,East,False,6,7,5,13,13,5,16,11,True,True,True,False,0,13,12,8,0,13,5,False,False,False,False,False,South
-1,193,15,10,5.83,-120.96,South,False,6,7,5,14,12,5,7,1,True,True,True,False,0,12,14,8,0,12,5,False,False,False,False,False,South
-1,192,15,9,4.47,-116.57,South,False,7,7,4,14,13,5,7,1,True,True,True,False,0,10,16,6,0,13,5,False,False,False,False,False,South
-1,191,15,8,2.83,-135.0,South,False,7,6,4,14,13,6,7,1,True,True,True,False,0,10,17,4,0,13,6,False,False,False,False,False,South
-1,190,15,7,3.16,-161.57,South,False,7,7,4,13,12,6,7,1,True,True,True,False,1,8,17,4,0,12,6,False,False,True,False,True,South
-1,189,15,6,3.16,161.57,South,False,8,7,5,13,12,7,7,1,True,True,True,False,0,8,17,4,0,12,7,False,False,False,False,False,North
-1,188,15,7,4.0,180.0,North,False,8,6,5,13,11,7,7,1,True,True,True,False,0,8,16,4,0,11,7,False,False,False,False,False,West
