@relation training_keyboard_practica2-weka.filters.unsupervised.attribute.Remove-R34-64-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R32

@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}

@data
-17,10,5,1,0,East,False,11,5,10,8,23,11,23,9,True,True,True,True,4,1,3,19,17,11,5,False,True,False,False,True
-18,10,6,2.24,-26.57,North,False,12,5,10,9,23,12,23,9,True,True,True,True,4,3,3,19,15,12,5,False,False,True,False,True
-19,10,7,2.24,116.57,North,False,12,5,9,9,22,12,23,8,True,True,True,True,4,4,3,17,14,9,9,True,False,False,False,True
-20,10,8,1,90,North,False,12,4,10,9,22,11,23,8,True,True,True,True,4,6,1,15,14,10,9,False,False,False,False,False
179,10,9,5.39,-68.2,North,False,12,4,3,1,23,11,23,9,True,False,True,True,3,7,0,15,12,12,4,False,False,False,False,False
178,10,10,7.28,-74.05,North,False,12,3,3,1,23,10,22,9,True,False,True,True,3,9,0,13,13,12,3,False,False,False,False,False
177,11,10,6.08,-80.54,East,False,12,4,3,1,23,10,22,9,True,False,True,True,3,7,0,12,11,12,4,False,True,False,False,True
176,12,10,6,-90,East,False,12,4,3,1,23,11,22,10,True,False,True,True,3,6,0,12,9,12,4,False,False,False,False,False
175,13,10,6.32,-108.43,East,False,11,4,3,1,23,11,21,10,True,False,True,True,3,8,0,11,9,11,4,False,False,False,False,False
174,13,9,5.39,-111.8,South,False,11,4,3,1,23,11,22,10,True,False,True,True,3,7,0,12,11,11,4,False,False,False,False,False
173,13,8,4.47,-116.57,South,False,11,4,3,1,23,11,23,10,True,False,True,True,3,6,0,13,13,11,4,False,False,False,False,False
172,13,7,3.61,-123.69,South,False,11,4,3,1,22,11,23,11,True,False,True,True,3,5,0,13,14,11,4,False,False,False,False,False
171,13,6,2.83,-135,South,False,11,4,3,1,21,11,23,11,True,False,True,True,3,4,0,13,16,11,4,False,False,False,False,False
170,13,5,3.16,-161.57,South,False,10,4,3,1,21,11,23,12,True,False,True,True,3,4,0,14,16,10,4,False,False,True,False,True
169,13,4,3,180,South,False,10,4,3,1,21,10,23,11,True,False,True,True,3,3,0,14,16,10,4,False,False,False,False,False
168,12,4,2,180,West,False,10,4,3,1,20,10,22,11,True,False,True,True,3,2,0,14,17,10,4,False,False,False,False,False
167,11,4,1.41,135,West,False,10,5,3,1,20,9,22,11,True,False,True,True,3,2,0,14,19,10,5,True,False,False,False,True
366,10,4,12.08,24.44,West,False,1,1,3,1,21,9,23,11,False,False,True,True,2,0,0,16,19,21,9,False,False,False,False,False
365,9,4,12.08,24.44,West,False,1,1,3,1,20,9,23,10,False,False,True,True,2,0,0,16,19,20,9,False,False,False,False,False
364,8,4,13.42,26.57,West,False,1,1,3,1,20,10,22,10,False,False,True,True,2,0,0,18,19,20,10,False,False,False,False,False
