@relation training_keyboard_practica2
@attribute diff numeric
@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}
@attribute action {Stop, East, West, North, South}
@attribute NEW_totalScore numeric
@attribute NEW_POSx numeric
@attribute NEW_POSy numeric
@attribute NEW_module numeric
@attribute NEW_angle numeric
@attribute NEW_direction {Stop,East,West,North,South}
@attribute NEW_wall_ahead {True,False}
@attribute NEW_G1_POSX numeric
@attribute NEW_G1_POSY numeric
@attribute NEW_G2_POSX numeric
@attribute NEW_G2_POSY numeric
@attribute NEW_G3_POSX numeric
@attribute NEW_G3_POSY numeric
@attribute NEW_G4_POSX numeric
@attribute NEW_G4_POSY numeric
@attribute NEW_ALIVE_G1 {True,False}
@attribute NEW_ALIVE_G2 {True,False}
@attribute NEW_ALIVE_G3 {True,False}
@attribute NEW_ALIVE_G4 {True,False}
@attribute NEW_ghost_count numeric
@attribute NEW_G1_DIST numeric
@attribute NEW_G2_DIST numeric
@attribute NEW_G3_DIST numeric
@attribute NEW_G4_DIST numeric
@attribute NEW_closest_posX numeric
@attribute NEW_closest_posY numeric
@attribute NEW_G1_CLOSE {True,False}
@attribute NEW_G2_CLOSE {True,False}
@attribute NEW_G3_CLOSE {True,False}
@attribute NEW_G4_CLOSE {True,False}
@attribute NEW_ghost_is_close {True,False}

@data
-1,-24,3,6,2.0,90.0,East,False,3,8,10,8,14,6,25,15,True,True,True,True,4,2,9,11,32,3,8,False,False,False,False,False,East,-25,4,6,2.24,116.57,East,False,3,8,10,7,14,5,25,16,True,True,True,True,4,3,7,11,30,3,8,True,False,False,False,True
-1,-25,4,6,2.24,116.57,East,False,3,8,10,7,14,5,25,16,True,True,True,True,4,3,7,11,30,3,8,True,False,False,False,True,North,-26,4,7,1.0,180.0,North,False,3,7,10,6,14,5,25,15,True,True,True,True,4,1,7,12,30,3,7,True,False,False,False,True
-1,-26,4,7,1.0,180.0,North,False,3,7,10,6,14,5,25,15,True,True,True,True,4,1,7,12,30,3,7,True,False,False,False,True,North,-27,4,8,2.24,-116.57,North,False,3,6,10,7,13,5,25,16,True,True,True,True,4,3,7,12,28,3,6,True,False,False,False,True
-1,-27,4,8,2.24,-116.57,North,False,3,6,10,7,13,5,25,16,True,True,True,True,4,3,7,12,28,3,6,True,False,False,False,True,West,-28,3,8,1.0,-90.0,West,True,3,7,9,7,14,5,25,15,True,True,True,True,4,1,7,14,30,3,7,False,False,True,False,True
199,-28,3,8,1.0,-90.0,West,True,3,7,9,7,14,5,25,15,True,True,True,True,4,1,7,14,30,3,7,False,False,True,False,True,Stop,171,3,8,6.32,-18.43,West,True,1,1,9,6,14,5,25,16,False,True,True,True,3,0,8,14,29,9,6,False,False,False,False,False
-1,171,3,8,6.32,-18.43,West,True,1,1,9,6,14,5,25,16,False,True,True,True,3,0,8,14,29,9,6,False,False,False,False,False,Stop,170,3,8,6.32,-18.43,West,False,1,1,9,6,13,5,25,15,False,True,True,True,3,0,8,13,28,9,6,False,False,False,False,False
-1,170,3,8,6.32,-18.43,West,False,1,1,9,6,13,5,25,15,False,True,True,True,3,0,8,13,28,9,6,False,False,False,False,False,South,169,3,7,5.1,-11.31,South,False,1,1,8,6,13,5,24,15,False,True,True,True,3,0,6,12,28,8,6,False,False,True,False,True
-1,169,3,7,5.1,-11.31,South,False,1,1,8,6,13,5,24,15,False,True,True,True,3,0,6,12,28,8,6,False,False,True,False,True,South,168,3,6,5.1,-11.31,South,False,1,1,8,5,13,4,24,14,False,True,True,True,3,0,6,12,30,8,5,False,False,True,False,True
-1,168,3,6,5.1,-11.31,South,False,1,1,8,5,13,4,24,14,False,True,True,True,3,0,6,12,30,8,5,False,False,True,False,True,South,167,3,5,6.0,0.0,South,False,1,1,9,5,13,4,24,15,False,True,True,True,3,0,6,11,32,9,5,False,False,False,False,False
-1,167,3,5,6.0,0.0,South,False,1,1,9,5,13,4,24,15,False,True,True,True,3,0,6,11,32,9,5,False,False,False,False,False,East,166,4,5,5.1,-11.31,East,False,1,1,9,4,13,5,25,15,False,True,True,True,3,0,6,9,30,9,4,False,False,True,False,True
